land_size_acres,experience_years,loan_amount,loan_amount_per_acre,loan_to_experience_ratio,crop_type,crop_season_risk,irrigation,soil_quality,yield_variance,rainfall_deviation,market_volatility,repayment_history,loan_purpose,default_risk
4.39,10,250530,57068.34,22775.45,millets,high,partial,good,0.27,17,low,good,consumption,0
4.29,9,61760,14396.27,6176.0,wheat,low,partial,poor,0.32,2,medium,poor,consumption,1
5.43,7,365514,67313.81,45689.25,wheat,low,rainfed,poor,0.52,10,high,mixed,consumption,1
0.74,23,334513,452044.59,13938.04,pulses,low,rainfed,good,0.37,13,low,good,productive,0
2.62,22,33372,12737.4,1450.96,maize,low,assured,average,0.56,3,medium,poor,consumption,0
3.16,5,371934,117700.63,61989.0,cotton,high,partial,poor,0.13,35,low,mixed,productive,1
0.5,18,265964,531928.0,13998.11,cotton,high,partial,good,0.21,25,medium,none,semi,1
4.85,22,116811,24084.74,5078.74,cotton,low,assured,average,0.61,10,high,mixed,consumption,0
3.0,5,299742,99914.0,49957.0,cotton,high,rainfed,poor,0.24,2,low,mixed,semi,0
2.38,2,494397,207729.83,164799.0,rice,low,partial,poor,0.67,18,medium,poor,semi,1
1.65,14,447034,270929.7,29802.27,millets,low,rainfed,average,0.33,16,high,good,semi,1
5.54,26,287718,51934.66,10656.22,maize,low,assured,good,0.37,12,low,good,consumption,0
0.6,19,111601,186001.67,5580.05,pulses,low,partial,average,0.53,31,high,none,semi,1
5.87,11,11536,1965.25,961.33,millets,low,partial,poor,0.18,23,low,mixed,semi,0
4.14,17,81103,19590.1,4505.72,rice,low,rainfed,average,0.65,22,medium,none,productive,0
3.34,1,372705,111588.32,186352.5,pulses,low,partial,poor,0.38,29,high,mixed,consumption,1
3.01,6,395804,131496.35,56543.43,rice,low,assured,average,0.79,8,medium,poor,consumption,1
3.63,22,214293,59033.88,9317.09,cotton,low,rainfed,good,0.9,1,high,none,productive,1
2.71,29,297897,109925.09,9929.9,wheat,low,rainfed,average,0.68,0,low,poor,semi,0
2.45,10,435048,177570.61,39549.82,rice,low,partial,average,0.14,11,high,mixed,consumption,1
5.36,23,37730,7039.18,1572.08,maize,low,rainfed,good,0.58,1,high,none,productive,0
0.94,18,394653,419843.62,20771.21,millets,high,partial,poor,0.87,27,high,good,semi,1
2.76,0,153272,55533.33,153272.0,maize,low,partial,poor,0.26,3,high,mixed,semi,1
4.69,15,197983,42213.86,12373.94,millets,low,assured,poor,0.38,18,high,none,semi,1
0.77,20,113525,147435.06,5405.95,cotton,high,partial,good,0.51,16,high,none,consumption,1
5.32,0,334752,62923.31,334752.0,pulses,low,partial,poor,0.82,29,medium,poor,semi,1
1.1,5,240865,218968.18,40144.17,rice,low,rainfed,poor,0.3,17,low,mixed,semi,1
5.32,0,68819,12935.9,68819.0,wheat,high,partial,average,0.91,18,high,good,consumption,1
3.88,10,142503,36727.58,12954.82,millets,high,partial,good,0.76,8,medium,none,consumption,1
1.41,13,93949,66630.5,6710.64,wheat,low,partial,good,0.86,19,medium,poor,productive,0
5.93,8,239865,40449.41,26651.67,pulses,low,partial,poor,0.16,13,high,none,consumption,1
2.67,27,238865,89462.55,8530.89,maize,low,partial,poor,0.9,32,medium,mixed,semi,0
1.71,4,98601,57661.4,19720.2,millets,high,rainfed,average,0.35,36,medium,good,semi,0
4.54,18,294644,64899.56,15507.58,rice,low,partial,poor,0.41,37,high,good,productive,0
3.12,16,42869,13740.06,2521.71,wheat,low,partial,good,0.22,34,low,mixed,semi,0
1.97,13,205030,104076.14,14645.0,millets,low,assured,good,0.25,15,low,poor,semi,0
1.31,8,202551,154619.08,22505.67,maize,low,rainfed,average,0.95,39,low,none,productive,1
4.1,11,294850,71914.63,24570.83,wheat,high,assured,good,0.85,4,low,good,semi,0
1.96,22,231732,118230.61,10075.3,millets,high,assured,good,0.55,38,low,none,productive,0
4.37,6,385674,88254.92,55096.29,maize,low,partial,average,0.93,26,low,good,consumption,0
4.27,11,458034,107267.92,38169.5,rice,low,rainfed,poor,0.21,34,high,good,consumption,1
1.3,3,145017,111551.54,36254.25,cotton,high,rainfed,average,0.79,29,high,none,productive,1
2.92,29,47087,16125.68,1569.57,maize,low,partial,average,0.93,33,high,mixed,productive,0
4.83,26,274932,56921.74,10182.67,maize,low,partial,poor,0.71,33,low,none,productive,1
2.83,10,125030,44180.21,11366.36,rice,low,assured,average,0.14,28,medium,poor,productive,0
3.11,28,413455,132943.73,14257.07,millets,low,partial,average,0.24,5,low,good,productive,0
1.7,6,368376,216691.76,52625.14,cotton,high,rainfed,good,0.22,28,high,none,consumption,1
1.21,3,236214,195218.18,59053.5,cotton,high,rainfed,good,0.75,27,medium,mixed,semi,1
2.2,8,219517,99780.45,24390.78,wheat,high,rainfed,poor,0.82,38,medium,mixed,productive,1
2.89,0,166053,57457.79,166053.0,maize,low,partial,good,0.99,15,low,none,productive,1
5.95,4,459677,77256.64,91935.4,rice,low,rainfed,average,0.59,19,low,good,consumption,1
4.62,0,273840,59272.73,273840.0,millets,low,assured,average,0.52,1,high,good,semi,1
2.01,21,11219,5581.59,509.95,cotton,low,partial,poor,0.91,28,low,none,productive,0
5.61,25,455369,81170.94,17514.19,millets,high,assured,good,0.29,16,medium,poor,semi,0
0.75,7,173899,231865.33,21737.38,maize,low,rainfed,average,0.17,40,high,good,productive,1
4.66,20,368717,79123.82,17557.95,cotton,low,rainfed,good,0.48,38,high,none,consumption,1
4.09,18,366905,89707.82,19310.79,rice,low,rainfed,poor,0.8,14,high,mixed,productive,0
3.32,12,453859,136704.52,34912.23,millets,high,assured,average,0.61,12,high,good,consumption,1
4.84,26,358697,74110.95,13285.07,maize,low,assured,poor,0.16,33,low,poor,semi,1
5.41,0,499289,92290.02,499289.0,cotton,low,rainfed,good,0.72,29,high,mixed,semi,1
3.69,16,145398,39403.25,8552.82,rice,low,assured,poor,0.27,8,medium,good,consumption,0
5.89,29,216069,36684.04,7202.3,millets,high,partial,good,0.44,14,high,none,consumption,1
3.31,14,200738,60645.92,13382.53,wheat,high,partial,poor,0.99,3,low,none,consumption,1
5.05,3,462179,91520.59,115544.75,rice,low,rainfed,average,0.69,15,low,mixed,consumption,1
2.85,13,59314,20811.93,4236.71,cotton,low,assured,average,0.69,16,medium,mixed,semi,0
3.48,22,254334,73084.48,11058.0,wheat,low,partial,average,0.73,18,low,none,consumption,1
3.63,12,72937,20092.84,5610.54,rice,low,partial,average,0.87,38,medium,poor,semi,1
4.35,16,498106,114507.13,29300.35,pulses,low,partial,good,0.88,5,medium,none,consumption,1
4.73,12,416628,88082.03,32048.31,rice,low,rainfed,good,0.54,18,low,poor,productive,0
2.14,13,450920,210710.28,32208.57,pulses,low,assured,good,0.31,21,medium,none,semi,1
4.5,28,446668,99259.56,15402.34,rice,low,assured,good,0.42,31,low,none,consumption,1
3.14,1,377554,120240.13,188777.0,pulses,low,rainfed,poor,0.26,22,high,mixed,consumption,1
1.8,15,351694,195385.56,21980.88,cotton,low,assured,average,0.41,27,low,good,productive,0
0.78,5,365858,469048.72,60976.33,pulses,low,partial,average,0.29,9,high,none,consumption,1
4.85,30,427591,88163.09,13793.26,wheat,low,assured,poor,0.86,8,low,none,consumption,1
3.0,15,206082,68694.0,12880.12,maize,low,assured,poor,0.31,36,low,poor,productive,0
5.14,14,388223,75529.77,25881.53,wheat,high,rainfed,poor,0.47,20,medium,poor,consumption,1
3.44,3,271754,78998.26,67938.5,cotton,high,partial,poor,0.73,14,medium,mixed,semi,1
4.55,27,349995,76921.98,12499.82,maize,low,rainfed,good,0.47,16,low,good,semi,0
1.02,3,146254,143386.27,36563.5,maize,low,assured,average,0.66,6,low,mixed,consumption,0
2.48,15,81119,32709.27,5069.94,maize,low,assured,poor,0.63,13,medium,good,productive,0
4.06,27,178228,43898.52,6365.29,pulses,low,partial,average,0.45,7,medium,none,consumption,0
1.6,8,373944,233715.0,41549.33,wheat,low,rainfed,poor,0.12,17,high,none,semi,1
1.97,12,331427,168237.06,25494.38,rice,low,rainfed,average,0.19,10,medium,mixed,productive,0
2.29,26,295327,128963.76,10938.04,maize,low,rainfed,good,0.23,29,low,none,productive,1
5.27,26,454602,86262.24,16837.11,millets,high,rainfed,average,0.65,39,high,poor,semi,1
3.8,21,43689,11497.11,1985.86,rice,low,rainfed,average,0.81,6,low,none,semi,1
1.53,16,217511,142164.05,12794.76,millets,low,rainfed,poor,0.49,8,medium,poor,consumption,1
4.28,19,103099,24088.55,5154.95,millets,low,assured,average,0.76,12,medium,none,consumption,1
5.9,23,233604,39593.9,9733.5,wheat,high,partial,average,0.67,1,high,poor,productive,0
3.26,17,475524,145866.26,26418.0,millets,low,rainfed,good,0.79,40,medium,mixed,semi,1
4.48,8,347647,77599.78,38627.44,millets,low,assured,poor,0.33,21,low,mixed,consumption,0
0.84,22,3851,4584.52,167.43,millets,low,assured,poor,0.71,12,low,none,productive,1
4.19,26,432334,103182.34,16012.37,cotton,high,rainfed,average,0.98,33,high,poor,semi,1
0.69,8,253920,368000.0,28213.33,cotton,high,partial,average,0.24,39,medium,none,consumption,1
2.57,19,481689,187427.63,24084.45,rice,low,partial,poor,0.13,13,high,mixed,consumption,1
1.13,7,83242,73665.49,10405.25,wheat,low,partial,good,1.0,7,medium,none,consumption,1
0.89,19,19630,22056.18,981.5,millets,high,rainfed,poor,0.35,40,low,poor,productive,1
5.45,30,328328,60243.67,10591.23,maize,low,partial,average,0.25,19,high,poor,semi,0
5.91,28,426962,72243.99,14722.83,maize,low,rainfed,average,0.78,25,medium,poor,consumption,1
3.53,14,115073,32598.58,7671.53,maize,low,rainfed,good,0.17,25,low,good,productive,0
5.04,1,111544,22131.75,55772.0,wheat,low,partial,poor,0.9,9,high,mixed,semi,1
5.11,13,221773,43399.8,15840.93,pulses,low,rainfed,poor,0.12,20,high,good,consumption,1
2.03,0,117207,57737.44,117207.0,pulses,low,assured,average,0.89,7,high,good,productive,1
1.38,17,21694,15720.29,1205.22,millets,high,partial,average,0.98,30,high,none,consumption,1
2.91,22,384524,132138.83,16718.43,maize,low,partial,poor,0.94,37,low,none,productive,1
1.82,23,61108,33575.82,2546.17,pulses,low,partial,poor,0.11,28,low,none,productive,0
4.14,25,117893,28476.57,4534.35,pulses,low,rainfed,average,0.8,39,medium,poor,productive,1
4.87,4,467717,96040.45,93543.4,wheat,high,rainfed,average,0.32,4,medium,good,semi,1
1.66,4,43924,26460.24,8784.8,maize,low,partial,poor,0.82,24,high,good,consumption,1
1.8,19,253600,140888.89,12680.0,pulses,low,rainfed,poor,0.46,19,high,poor,consumption,1
1.31,1,117972,90054.96,58986.0,wheat,low,assured,average,0.58,7,low,mixed,semi,0
0.57,6,19867,34854.39,2838.14,wheat,low,rainfed,good,0.55,14,low,good,semi,0
4.44,11,221852,49966.67,18487.67,pulses,low,assured,good,0.64,30,low,none,productive,0
1.45,15,75681,52193.79,4730.06,cotton,low,rainfed,average,0.99,16,low,good,semi,0
5.97,27,345948,57947.74,12355.29,rice,low,rainfed,poor,0.94,35,low,none,productive,1
2.92,21,287872,98586.3,13085.09,pulses,low,assured,good,0.79,0,medium,none,consumption,1
4.01,23,397067,99019.2,16544.46,cotton,high,partial,average,0.33,36,medium,none,productive,0
2.32,17,280234,120790.52,15568.56,rice,low,partial,poor,0.74,20,medium,none,productive,1
3.22,28,50915,15812.11,1755.69,cotton,high,partial,good,0.69,28,low,none,productive,0
3.98,17,219569,55168.09,12198.28,millets,low,rainfed,good,0.54,24,high,poor,productive,0
4.36,12,165895,38049.31,12761.15,maize,low,partial,poor,0.68,8,high,poor,semi,1
4.56,3,107980,23679.82,26995.0,millets,high,rainfed,good,0.46,0,high,good,semi,0
3.76,11,89873,23902.39,7489.42,pulses,low,partial,poor,0.94,18,low,none,productive,0
3.46,13,378738,109461.85,27052.71,wheat,high,partial,poor,0.42,35,low,none,productive,1
1.64,5,246323,150196.95,41053.83,millets,high,rainfed,good,0.29,14,medium,none,consumption,1
5.64,1,353169,62618.62,176584.5,cotton,low,assured,good,0.82,26,medium,none,productive,1
3.32,2,336761,101434.04,112253.67,maize,low,partial,average,0.48,27,high,poor,productive,1
2.86,1,109007,38114.34,54503.5,millets,low,assured,average,0.11,20,high,good,productive,0
4.57,4,420507,92014.66,84101.4,wheat,low,assured,good,0.34,17,low,good,semi,0
3.48,1,420537,120843.97,210268.5,cotton,low,partial,average,0.25,19,medium,good,semi,1
3.23,13,11470,3551.08,819.29,wheat,high,assured,poor,0.45,36,low,none,consumption,1
3.93,28,145446,37009.16,5015.38,millets,high,partial,average,0.86,32,medium,none,productive,1
3.82,1,5829,1525.92,2914.5,wheat,low,partial,poor,0.75,39,low,none,productive,1
1.93,12,376017,194827.46,28924.38,wheat,low,assured,poor,0.46,21,high,good,semi,1
2.59,16,451927,174489.19,26583.94,wheat,high,assured,average,0.12,38,high,mixed,consumption,1
3.47,3,215946,62232.28,53986.5,millets,low,assured,good,0.4,12,high,none,semi,0
3.17,25,329396,103910.41,12669.08,maize,low,rainfed,average,0.82,22,high,none,semi,1
1.27,13,237321,186866.93,16951.5,rice,low,partial,poor,0.37,5,medium,good,productive,0
3.84,3,393438,102457.81,98359.5,cotton,high,partial,average,0.49,1,high,poor,productive,1
3.64,27,476743,130973.35,17026.54,wheat,low,partial,average,0.64,24,high,mixed,productive,0
3.33,19,290203,87148.05,14510.15,millets,high,rainfed,average,0.99,9,high,poor,productive,1
5.7,28,97201,17052.81,3351.76,rice,low,partial,good,0.89,35,medium,mixed,semi,0
1.48,28,297506,201017.57,10258.83,millets,low,rainfed,good,0.86,29,low,none,semi,1
4.49,11,455480,101443.21,37956.67,cotton,low,assured,average,0.43,3,high,good,productive,0
0.55,1,108318,196941.82,54159.0,maize,low,rainfed,average,0.62,3,medium,good,productive,1
4.37,24,358237,81976.43,14329.48,millets,high,partial,good,0.3,39,medium,none,consumption,1
4.26,18,493452,115833.8,25971.16,maize,low,partial,poor,0.21,25,high,good,productive,0
2.73,16,58369,21380.59,3433.47,rice,low,partial,poor,0.46,3,high,mixed,consumption,0
0.72,23,464349,644929.17,19347.88,rice,low,assured,average,0.12,25,low,poor,semi,1
2.42,3,142891,59045.87,35722.75,maize,low,rainfed,average,0.85,36,medium,mixed,semi,0
5.89,25,99861,16954.33,3840.81,maize,low,rainfed,average,0.19,8,medium,poor,consumption,1
2.15,24,276994,128834.42,11079.76,maize,low,assured,poor,0.53,14,high,mixed,semi,1
4.54,12,426143,93864.1,32780.23,rice,low,assured,good,0.69,26,high,mixed,semi,0
3.19,9,316636,99258.93,31663.6,wheat,high,rainfed,good,0.54,13,low,none,consumption,1
1.03,10,39746,38588.35,3613.27,maize,low,assured,average,0.84,35,medium,poor,productive,0
5.4,14,209535,38802.78,13969.0,rice,low,rainfed,good,0.21,27,medium,none,consumption,1
3.14,26,458721,146089.49,16989.67,wheat,high,assured,good,0.9,39,high,good,productive,1
3.41,9,469980,137824.05,46998.0,millets,high,partial,average,0.24,27,low,good,semi,0
5.0,19,250881,50176.2,12544.05,pulses,low,assured,good,0.33,14,low,none,consumption,0
2.89,4,193433,66931.83,38686.6,wheat,high,assured,good,0.49,35,high,none,semi,1
2.37,10,341779,144210.55,31070.82,pulses,low,assured,average,0.43,19,medium,poor,consumption,1
1.07,22,319231,298346.73,13879.61,rice,low,partial,poor,0.26,36,high,good,semi,1
3.6,12,408305,113418.06,31408.08,cotton,high,partial,good,0.26,30,high,good,consumption,0
4.55,30,423147,92999.34,13649.9,pulses,low,assured,poor,0.44,7,high,none,consumption,1
2.82,0,151748,53811.35,151748.0,cotton,low,rainfed,good,0.21,24,high,none,semi,1
4.38,9,427177,97529.0,42717.7,pulses,low,rainfed,average,0.59,38,high,good,consumption,1
5.33,8,242469,45491.37,26941.0,pulses,low,assured,good,0.51,27,low,good,productive,0
1.39,1,494716,355910.79,247358.0,pulses,low,assured,poor,0.79,16,medium,none,productive,1
0.75,0,77133,102844.0,77133.0,pulses,low,rainfed,average,0.32,20,medium,poor,consumption,1
4.99,6,228302,45751.9,32614.57,rice,low,rainfed,average,0.15,22,medium,good,consumption,0
0.57,15,301612,529143.86,18850.75,rice,low,partial,poor,0.23,38,medium,none,productive,1
2.11,0,188942,89545.97,188942.0,millets,high,partial,average,0.1,16,medium,mixed,consumption,1
1.23,12,438531,356529.27,33733.15,millets,low,rainfed,average,0.66,16,low,none,consumption,1
1.61,7,261415,162369.57,32676.88,millets,low,assured,poor,0.76,6,low,poor,productive,1
1.22,13,26691,21877.87,1906.5,rice,low,rainfed,poor,0.46,1,high,good,consumption,1
5.61,16,379941,67725.67,22349.47,maize,low,assured,good,0.11,24,high,none,semi,0
1.44,11,232285,161309.03,19357.08,rice,low,assured,average,0.3,35,medium,poor,productive,1
5.79,13,88028,15203.45,6287.71,wheat,low,partial,poor,0.63,28,medium,mixed,consumption,0
1.0,9,169512,169512.0,16951.2,wheat,low,rainfed,poor,0.26,34,high,poor,productive,1
4.9,26,474043,96743.47,17557.15,cotton,low,partial,good,0.46,17,high,good,consumption,0
4.36,10,259925,59615.83,23629.55,rice,low,assured,good,0.46,30,high,mixed,productive,0
0.95,29,329326,346658.95,10977.53,wheat,low,partial,average,0.25,34,medium,good,productive,0
2.94,28,427849,145526.87,14753.41,rice,low,partial,poor,0.59,2,low,poor,productive,1
5.97,21,416228,69719.93,18919.45,millets,high,partial,poor,0.39,26,high,poor,consumption,1
4.81,13,287459,59762.79,20532.79,wheat,high,assured,good,0.28,8,low,poor,semi,0
3.56,9,168219,47252.53,16821.9,wheat,low,assured,poor,0.17,22,medium,poor,semi,0
4.07,29,483027,118679.85,16100.9,pulses,low,rainfed,poor,0.78,27,high,mixed,consumption,1
5.54,12,15718,2837.18,1209.08,pulses,low,rainfed,average,0.48,2,high,none,consumption,1
1.17,12,287873,246045.3,22144.08,maize,low,partial,good,0.1,9,low,none,semi,1
4.73,2,275015,58142.71,91671.67,pulses,low,partial,poor,0.66,5,medium,mixed,semi,0
0.73,24,14722,20167.12,588.88,wheat,low,rainfed,average,1.0,25,medium,mixed,productive,0
5.68,25,426000,75000.0,16384.62,maize,low,rainfed,poor,0.34,34,high,mixed,productive,0
5.1,16,458943,89988.82,26996.65,maize,low,partial,average,0.42,6,high,poor,productive,0
5.59,29,3046,544.9,101.53,maize,low,partial,average,0.77,5,medium,none,consumption,1
4.07,22,70579,17341.28,3068.65,pulses,low,assured,good,0.22,4,low,mixed,consumption,0
3.45,16,136035,39430.43,8002.06,maize,low,assured,average,0.29,21,medium,good,productive,0
4.77,4,291234,61055.35,58246.8,wheat,high,rainfed,good,0.54,2,medium,good,semi,0
3.04,0,273624,90007.89,273624.0,pulses,low,rainfed,average,0.73,38,medium,good,semi,1
1.64,17,296189,180603.05,16454.94,millets,low,rainfed,good,0.46,1,low,poor,semi,1
1.43,14,333434,233170.63,22228.93,maize,low,partial,poor,0.64,20,medium,none,semi,1
3.06,19,400368,130839.22,20018.4,cotton,high,partial,average,0.51,25,low,none,consumption,1
5.47,14,217976,39849.36,14531.73,cotton,high,partial,average,0.31,15,high,good,semi,0
1.14,4,60677,53225.44,12135.4,cotton,low,rainfed,good,0.26,19,low,none,productive,0
3.02,4,417383,138206.29,83476.6,maize,low,assured,good,0.12,28,low,poor,semi,1
5.75,26,41062,7141.22,1520.81,pulses,low,rainfed,good,0.31,36,medium,mixed,productive,0
3.44,11,26225,7623.55,2185.42,rice,low,partial,average,0.56,6,medium,mixed,consumption,0
3.8,28,57407,15107.11,1979.55,maize,low,rainfed,poor,0.25,26,high,none,consumption,1
1.37,15,102022,74468.61,6376.38,wheat,high,partial,poor,0.28,1,high,poor,consumption,1
2.4,22,159133,66305.42,6918.83,cotton,high,partial,poor,0.71,16,medium,mixed,consumption,1
2.29,2,387397,169169.0,129132.33,maize,low,rainfed,good,0.15,9,high,none,semi,1
0.65,12,47411,72940.0,3647.0,pulses,low,assured,average,0.85,15,high,mixed,consumption,1
4.91,17,306049,62331.77,17002.72,maize,low,rainfed,good,0.45,27,medium,good,productive,0
1.71,29,484050,283070.18,16135.0,cotton,high,partial,average,0.47,2,high,good,productive,0
3.38,1,343684,101681.66,171842.0,maize,low,partial,poor,1.0,24,medium,good,semi,1
4.17,13,149019,35735.97,10644.21,maize,low,assured,good,0.15,2,high,none,productive,0
2.73,18,73681,26989.38,3877.95,maize,low,partial,average,0.64,32,medium,mixed,consumption,0
2.68,0,408361,152373.51,408361.0,maize,low,assured,average,0.78,11,low,none,productive,1
1.13,10,63424,56127.43,5765.82,millets,high,partial,good,0.74,9,medium,none,consumption,1
4.0,24,215423,53855.75,8616.92,millets,high,rainfed,poor,0.72,11,medium,good,semi,1
2.24,11,142481,63607.59,11873.42,rice,low,partial,average,0.21,21,medium,poor,consumption,0
2.35,16,423285,180121.28,24899.12,wheat,low,rainfed,average,0.67,13,low,good,consumption,1
1.52,18,88500,58223.68,4657.89,wheat,high,assured,poor,0.67,19,medium,mixed,consumption,0
3.51,9,170042,48445.01,17004.2,pulses,low,partial,good,0.95,14,low,poor,semi,0
4.55,10,35901,7890.33,3263.73,maize,low,rainfed,good,0.16,22,medium,poor,consumption,1
3.27,14,72231,22088.99,4815.4,maize,low,assured,average,0.57,9,low,poor,semi,0
1.62,0,490428,302733.33,490428.0,millets,high,assured,poor,0.67,3,high,poor,productive,1
0.98,16,148468,151497.96,8733.41,pulses,low,partial,poor,0.63,19,medium,poor,consumption,1
3.73,13,11419,3061.39,815.64,wheat,low,partial,poor,0.85,27,low,poor,semi,1
4.86,4,189041,38897.33,37808.2,millets,low,partial,good,0.19,18,low,poor,productive,0
0.71,10,303460,427408.45,27587.27,wheat,low,partial,poor,0.11,22,high,none,consumption,1
4.59,17,90193,19649.89,5010.72,cotton,low,rainfed,good,0.48,28,low,none,productive,0
5.98,7,137453,22985.45,17181.62,millets,high,partial,poor,0.29,5,medium,poor,productive,0
4.33,12,492718,113791.69,37901.38,maize,low,assured,average,0.36,3,high,none,semi,0
1.62,20,41784,25792.59,1989.71,maize,low,assured,average,0.5,11,high,mixed,semi,0
1.58,0,189114,119692.41,189114.0,millets,low,assured,poor,0.35,19,low,good,semi,1
4.41,19,204648,46405.44,10232.4,wheat,high,partial,good,0.52,1,low,mixed,productive,0
5.1,12,139595,27371.57,10738.08,pulses,low,assured,average,0.63,36,high,mixed,productive,0
3.93,29,362655,92278.63,12088.5,millets,low,rainfed,poor,0.13,38,high,mixed,semi,1
4.15,6,497124,119788.92,71017.71,cotton,high,rainfed,good,0.64,25,high,mixed,consumption,1
2.49,28,451402,181285.94,15565.59,millets,low,rainfed,average,0.2,19,medium,good,semi,0
5.98,21,310937,51996.15,14133.5,cotton,low,rainfed,average,0.98,2,high,mixed,consumption,1
4.79,9,19963,4167.64,1996.3,millets,low,rainfed,poor,0.26,22,high,good,consumption,1
1.95,4,420281,215528.72,84056.2,maize,low,partial,poor,0.79,34,medium,mixed,semi,1
3.61,29,375466,104007.2,12515.53,millets,high,assured,average,0.64,18,low,good,productive,0
3.5,4,479408,136973.71,95881.6,cotton,high,rainfed,poor,0.71,14,high,none,semi,1
4.28,6,133076,31092.52,19010.86,cotton,low,partial,average,0.53,18,low,good,productive,0
0.96,26,198344,206608.33,7346.07,pulses,low,partial,average,0.59,7,high,none,semi,1
1.8,20,276696,153720.0,13176.0,rice,low,assured,average,0.89,17,high,good,productive,0
4.73,20,289725,61252.64,13796.43,millets,high,assured,average,0.24,13,low,none,consumption,1
5.53,16,11767,2127.85,692.18,pulses,low,rainfed,average,0.25,28,low,good,consumption,0
5.63,30,406133,72137.3,13101.06,millets,high,assured,average,0.51,28,medium,mixed,productive,0
1.06,23,391631,369463.21,16317.96,millets,high,assured,poor,0.22,12,medium,none,consumption,1
4.56,7,388239,85140.13,48529.88,pulses,low,rainfed,good,0.98,0,low,mixed,consumption,0
3.32,15,254634,76696.99,15914.62,millets,high,partial,poor,0.72,10,high,good,semi,1
4.93,1,427115,86635.9,213557.5,rice,low,assured,good,0.68,26,low,good,productive,0
5.79,28,107778,18614.51,3716.48,cotton,high,assured,average,0.83,33,medium,poor,productive,1
5.33,29,188270,35322.7,6275.67,rice,low,assured,good,0.63,17,low,poor,consumption,0
5.48,10,165062,30120.8,15005.64,cotton,high,rainfed,good,0.16,26,low,mixed,consumption,0
3.99,5,37650,9436.09,6275.0,cotton,high,assured,poor,0.19,1,high,none,productive,1
2.49,4,394366,158379.92,78873.2,cotton,high,partial,poor,0.89,30,low,mixed,consumption,1
4.64,14,148953,32101.94,9930.2,pulses,low,assured,poor,0.75,39,low,mixed,semi,0
1.0,4,155814,155814.0,31162.8,rice,low,partial,poor,0.4,4,low,good,semi,0
1.87,23,136719,73111.76,5696.62,maize,low,partial,poor,0.52,37,low,none,consumption,1
4.35,23,393235,90398.85,16384.79,millets,low,rainfed,good,0.98,16,high,good,semi,0
4.44,22,424809,95677.7,18469.96,wheat,high,assured,good,0.81,39,low,poor,consumption,1
0.87,15,161313,185417.24,10082.06,millets,high,rainfed,poor,0.16,13,high,good,consumption,1
1.22,26,188168,154236.07,6969.19,rice,low,partial,poor,0.86,12,low,good,consumption,1
5.57,28,74062,13296.59,2553.86,rice,low,assured,average,0.31,34,medium,good,semi,0
5.49,7,358537,65307.29,44817.12,rice,low,partial,poor,0.2,18,high,good,productive,0
4.2,9,189897,45213.57,18989.7,wheat,low,partial,poor,0.37,36,high,none,productive,1
5.35,22,350489,65511.96,15238.65,rice,low,rainfed,average,0.57,36,high,poor,productive,1
2.42,20,399702,165166.12,19033.43,rice,low,partial,average,0.44,29,low,mixed,semi,0
2.31,25,304985,132028.14,11730.19,wheat,low,assured,average,0.75,17,high,good,semi,1
3.7,9,240785,65077.03,24078.5,rice,low,partial,poor,0.72,4,high,good,productive,0
0.53,21,343812,648701.89,15627.82,pulses,low,partial,poor,0.65,11,low,none,semi,1
1.63,3,486478,298452.76,121619.5,wheat,high,rainfed,good,0.54,39,low,none,consumption,1
1.73,2,306094,176932.95,102031.33,rice,low,rainfed,average,0.83,0,low,mixed,productive,1
1.71,29,26249,15350.29,874.97,wheat,low,partial,average,0.44,28,low,none,consumption,0
4.48,1,91314,20382.59,45657.0,millets,low,rainfed,good,0.44,26,high,mixed,consumption,1
4.46,3,331749,74383.18,82937.25,pulses,low,partial,poor,0.8,2,medium,mixed,consumption,1
5.34,7,20351,3811.05,2543.88,maize,low,rainfed,good,0.72,20,low,poor,productive,0
1.49,12,96718,64911.41,7439.85,rice,low,partial,average,0.46,5,high,none,consumption,1
1.91,15,208285,109049.74,13017.81,wheat,high,partial,poor,0.15,29,high,mixed,semi,0
5.1,15,100464,19698.82,6279.0,wheat,high,partial,good,0.68,0,medium,good,consumption,0
4.71,7,12328,2617.41,1541.0,pulses,low,rainfed,poor,0.25,1,low,good,productive,0
5.0,13,127891,25578.2,9135.07,maize,low,rainfed,average,0.14,23,medium,poor,productive,0
4.87,10,457243,93889.73,41567.55,rice,low,partial,poor,0.34,5,low,good,consumption,0
3.49,13,151529,43418.05,10823.5,rice,low,assured,poor,0.7,1,low,none,consumption,1
3.11,8,326278,104912.54,36253.11,millets,high,assured,average,0.22,3,high,poor,consumption,1
3.61,8,401937,111339.89,44659.67,rice,low,assured,poor,0.77,3,low,poor,semi,1
5.24,10,411469,78524.62,37406.27,cotton,low,partial,poor,0.14,34,medium,good,semi,0
4.06,26,419177,103245.57,15525.07,millets,low,partial,average,0.63,2,medium,good,productive,0
0.99,24,339844,343276.77,13593.76,wheat,low,assured,poor,0.73,35,medium,good,productive,1
0.74,30,224446,303305.41,7240.19,wheat,low,assured,good,0.35,9,low,none,consumption,1
1.6,10,481655,301034.38,43786.82,rice,low,rainfed,poor,0.62,37,medium,mixed,semi,1
3.66,29,413291,112921.04,13776.37,pulses,low,partial,good,0.38,39,medium,none,consumption,1
